,m [eV],radius [R_solar],Q [erg/s/cm^3]
81,0.1,0.006496942604146125,2.4732577575447183e+22
82,0.1,0.006648787838417263,2.472334827612058e+22
83,0.1,0.006804181968927101,2.471391203538286e+22
84,0.1,0.006963207939763883,2.4704479365667972e+22
85,0.1,0.00712595063356841,2.4699134819792887e+22
86,0.1,0.0072924969168414455,2.4694998315840177e+22
87,0.1,0.007462935686310137,2.469086248690221e+22
88,0.1,0.007637357916378027,2.4686744420323256e+22
89,0.1,0.007815856707684091,2.468263168517735e+22
90,0.1,0.007998527336796709,2.4678519615487272e+22
91,0.1,0.008185467307069028,2.467413493736523e+22
92,0.1,0.008376776400682925,2.466974785287108e+22
93,0.1,0.008572556731909325,2.466260316806821e+22
94,0.1,0.008772912801613356,2.465072297655484e+22
95,0.1,0.008977951553033322,2.4638847479077237e+22
96,0.1,0.00918778242886334,2.463338489342217e+22
97,0.1,0.009402517429670132,2.462868449162529e+22
98,0.1,0.009622271173675135,2.4623887822391033e+22
99,0.1,0.009847160957933775,2.461901336524525e+22
100,0.1,0.010077306820944612,2.4611260369136987e+22
101,0.1,0.010312831606721848,2.4597753063066464e+22
102,0.1,0.010553861030365236,2.4586124846120917e+22
103,0.1,0.010800523745162528,2.4581085096788563e+22
104,0.1,0.011052951411260215,2.457597628101014e+22
105,0.1,0.011311278765939212,2.457060249946265e+22
106,0.1,0.011575643695533043,2.4560057529050524e+22
107,0.1,0.011846187309026835,2.4536472262991025e+22
108,0.1,0.012123054013376522,2.4520894487126088e+22
109,0.1,0.012406391590588319,2.4515420649776155e+22
110,0.1,0.012696351276599736,2.4502855602022285e+22
111,0.1,0.012993087842004158,2.4486879234479685e+22
112,0.1,0.013296759674662127,2.447168312513426e+22
113,0.1,0.01360752886424334,2.44597181742882e+22
114,0.1,0.013925561288744634,2.44538817604594e+22
115,0.1,0.014251026703029985,2.443113584594952e+22
116,0.1,0.01458409882943986,2.4408843351322347e+22
117,0.1,0.014924955450518298,2.4403030105054712e+22
118,0.1,0.01527377850390714,2.437883553252051e+22
119,0.1,0.015630754179458167,2.435800133791415e+22
120,0.1,0.01599607301861488,2.4351927228144386e+22
121,0.1,0.016369930016117026,2.432136443776449e+22
122,0.1,0.016752524724082157,2.429884603559381e+22
123,0.1,0.017144061358519713,2.427539180734131e+22
124,0.1,0.017544748908334597,2.424438002296618e+22
125,0.1,0.017954801246878312,2.42258895994904e+22
126,0.1,0.018374437246107267,2.4193276189086084e+22
127,0.1,0.018803880893409158,2.41586089704298e+22
128,0.1,0.0192433614111598,2.413207974569991e+22
129,0.1,0.01969311337907423,2.4105337992125226e+22
130,0.1,0.02015337685941733,2.4068971362842667e+22
131,0.1,0.020624397525140916,2.4036259535147546e+22
132,0.1,0.021106426791015546,2.4011664703200556e+22
133,0.1,0.02159972194782718,2.397316049748115e+22
134,0.1,0.022104546299710218,2.3937551697670337e+22
135,0.1,0.022621169304690252,2.3907748164935453e+22
136,0.1,0.02314986671851161,2.385535382054209e+22
137,0.1,0.023690920741826334,2.3814714214144054e+22
138,0.1,0.024244620170823284,2.3773867341263957e+22
139,0.1,0.02481126055137769,2.3731038368761586e+22
140,0.1,0.02539114433680347,2.3675305365838045e+22
141,0.1,0.025984581049292486,2.3612422408671026e+22
142,0.1,0.026591887445126937,2.3581477103628674e+22
143,0.1,0.027213387683753074,2.3516295504191333e+22
144,0.1,0.027849413500806438,2.346078728995816e+22
145,0.1,0.028500304385181086,2.339798331048196e+22
146,0.1,0.02916640776023705,2.332863241122902e+22
147,0.1,0.029848079169243275,2.3281375630619023e+22
148,0.1,0.030545682465154336,2.3219745645268847e+22
149,0.1,0.03125959000482281,2.3146950840158387e+22
150,0.1,0.03199018284775065,2.3072634597206447e+22
151,0.1,0.03273785095948577,2.2996858446667512e+22
152,0.1,0.033502993419772316,2.2919745878323213e+22
153,0.1,0.034286018635565865,2.2825629630821816e+22
154,0.1,0.03508734455902713,2.2745622946980586e+22
155,0.1,0.03590739891061055,2.266429121740565e+22
156,0.1,0.0367466194073669,2.2557047379756545e+22
157,0.1,0.03760545399658172,2.246079397303586e+22
158,0.1,0.03848436109487431,2.2362356773832106e+22
159,0.1,0.03938380983288489,2.225902291545404e+22
160,0.1,0.04030428030568053,2.214356729634926e+22
161,0.1,0.04124626382901352,2.2030311890419968e+22
162,0.1,0.04221026320156901,2.19219287860321e+22
163,0.1,0.04319679297334174,2.1789017534294317e+22
164,0.1,0.04420637972028532,2.1676650270946444e+22
165,0.1,0.04523956232538053,2.1537135675566834e+22
166,0.1,0.046296892266272656,2.1402399138357912e+22
167,0.1,0.04737893390963143,2.1271524613135048e+22
168,0.1,0.048486264812390815,2.112054968549832e+22
169,0.1,0.04961947603002903,2.096271294411766e+22
170,0.1,0.05077917243205401,2.082474012774819e+22
171,0.1,0.05196597302486197,2.0655204567410914e+22
172,0.1,0.053180511282142004,2.0497650004361558e+22
173,0.1,0.054423435483002665,2.0320354060254742e+22
174,0.1,0.05569540905800133,2.0145038584052288e+22
175,0.1,0.056997110943260744,1.9968969889066126e+22
176,0.1,0.05832923594286206,1.977898405849766e+22
177,0.1,0.059692495099707366,1.958467846812603e+22
178,0.1,0.0610876160750504,1.938857299070892e+22
179,0.1,0.06251534353689715,1.919781915749027e+22
180,0.1,0.0639764395574843,1.8988825524027926e+22
181,0.1,0.0654716840200474,1.876008340132392e+22
182,0.1,0.0670018750350959,1.854312603061893e+22
183,0.1,0.06856782936641742,1.8319926672103324e+22
184,0.1,0.07017038286703829,1.8091609912853708e+22
185,0.1,0.07181039092537353,1.7848265761418008e+22
186,0.1,0.07348872892180387,1.7602910163616926e+22
187,0.1,0.0752062926959241,1.7350066656324765e+22
188,0.1,0.07696399902471159,1.7093671105568325e+22
189,0.1,0.07876278611187058,1.6837057419272033e+22
190,0.1,0.08060361408861345,1.6574468519871702e+22
191,0.1,0.08248746552614586,1.6311083825948147e+22
192,0.1,0.08441534596012985,1.602723939213895e+22
193,0.1,0.08638828442740448,1.575155103419023e+22
194,0.1,0.08840733401525062,1.5459198484410509e+22
195,0.1,0.09047357242349298,1.5176278198904523e+22
196,0.1,0.09258810253973955,1.487566211895945e+22
197,0.1,0.09475205302806543,1.4583156480750526e+22
198,0.1,0.0969665789314552,1.4276028781466353e+22
199,0.1,0.09923286228832551,1.3964331348831456e+22
200,0.1,0.10155211276345681,1.3662709697386725e+22
201,0.1,0.1039255682936713,1.3344853828146517e+22
202,0.1,0.10635449574860112,1.3024726754369082e+22
