m [eV],radius [R_solar],Q [erg/s/cm^3]
0.1,0.9079505915340682,1.7233658625682822e+17
0.1,0.9115228469210025,1.5359980433484938e+17
0.1,0.917677973892884,1.2469448260925634e+17
0.1,0.9263391290596029,9.041099717737914e+16
0.1,0.9328260569828969,6.927499736287741e+16
0.1,0.9340509271626143,6.568562685210825e+16
0.1,0.9409174280896655,4.7797002597294e+16
0.1,0.9470312856299433,3.4817991740313816e+16
0.1,0.952474997706869,2.5388748127797484e+16
0.1,0.9546271445916618,2.2172046883396596e+16
0.1,0.9573220195717457,1.852907020126051e+16
0.1,0.96163775497924,1.3531209964603502e+16
0.1,0.9654804387192222,9887923981059032.0
0.1,0.9689019224134916,7235154236519407.0
0.1,0.9719483741806119,5299829690294789.0
0.1,0.9746609016098476,3892921764729091.5
0.1,0.9769377456486917,2918575643223572.0
0.1,0.9770761064503669,2865032845815401.0
0.1,0.9792265785004544,2113228108966111.0
0.1,0.9811413353610828,1563259684676151.0
0.1,0.9828462139876964,1159890909833278.5
0.1,0.984364219323648,862922957433723.9
0.1,0.9857158347196101,644100922081689.8
0.1,0.9869192983276323,483195599451873.06
0.1,0.9879908491993972,364838916315908.44
0.1,0.9889449464094218,277615570242711.7
0.1,0.9897944641599673,213274167239533.34
0.1,0.9905508655003228,166138329602610.97
0.1,0.99122435700456,131140083737999.66
0.1,0.9918240264949221,105340495082825.67
0.1,0.9923579656692227,86208559321145.86
0.1,0.9928333792869485,71998378097476.81
0.1,0.9932566823873724,61476978335911.48
0.1,0.993633586851501,53768687570838.62
0.1,0.9939691784758902,48216678791271.01
0.1,0.9942679855983273,44263618426719.766
0.1,0.9945340402013936,41742148866857.375
0.1,0.994770932318407,40334122563945.82
0.1,0.9949818584758807,39938677558005.26
0.1,0.9951696648261622,40523278140711.87
0.1,0.9953368855522611,42009923727105.76
0.1,0.995485777063092,44334086621781.734
0.1,0.9956183484405444,47901743725554.22
0.1,0.9957363885492218,52608867171079.72
0.1,0.9958414901746578,58518467370497.28
0.1,0.9959350715157214,65763059177763.805
0.1,0.9960183953212186,74771085348079.89
0.1,0.9960925859289145,86740543018295.3
0.1,0.9961586444368941,101419392051037.22
0.1,0.9962174622119733,119340415375208.67
0.1,0.9962698329174449,141144746937193.8
0.1,0.9963164632224487,167597189683147.72
0.1,0.99635798233748,199602785413482.25
0.1,0.9963949505047017,238224224169283.66
0.1,0.996427866557626,284699190616140.8
0.1,0.9964571746521715,340456855295620.94
0.1,0.9964832702599246,407132118799909.3
0.1,0.9965065055044725,489669601691309.56
0.1,0.9965271939128176,598372342806976.2
0.1,0.9965456146459828,731954541021991.4
0.1,0.996562016265899,895987412025208.6
0.1,0.9965766200893987,1097241682177144.2
0.1,0.9965896231745752,1343930053069222.8
0.1,0.9966012009798063,1645994286571082.2
0.1,0.9966115097313183,2015443921273915.0
0.1,0.9966206885312384,2466754434786446.0
0.1,0.9966288612345847,3017333479705121.5
0.1,0.9966361381205135,3688064660789087.5
0.1,0.996642617380384,4503939062681608.0
0.1,0.9966483864427107,5494785424172363.0
0.1,0.9966535231528896,6696110455807965.0
0.1,0.9966580968236126,8150061488678669.0
0.1,0.9966621691701446,9906523010447246.0
0.1,0.9966657951430843,1.2024358505011682e+16
